id,institution
1097,Ga. Southwestern
245,Gallaudet
246,Gannon
1092,Gardner-Webb
30084,Geneva
1094,George Fox
248,George Mason
249,George Washington
251,Georgetown
506003,Georgetown (KY)
257,Georgia
1096,Georgia College
506449,Georgia Gwinnett
254,Georgia St.
255,Georgia Tech
9004,Georgian Court
258,Gettysburg
1098,Glenville St.
8366,Goldey-Beacom
260,Gonzaga
1099,Gordon
501955,Goshen
1467,Goucher
506495,Governors St.
501960,Grace (IN)
501962,Grace (NE)
501961,Grace Christian (MI)
506062,Graceland (IA)
261,Grambling
1104,Grand Canyon
262,Grand Valley St.
501982,Grand View
501987,Great Lake Christian
794,Green Bay
506531,Green Mountain
263,Greensboro
1111,Greenville
264,Grinnell
265,Grove City
506437,Guelph (CAN)
1112,Guilford
266,Gust. Adolphus
12399,Gwynedd Mercy
267,Hamilton
268,Hamline
269,Hampden-Sydney
506036,Hampshire
270,Hampton
502043,Hannibal-La Grange
1115,Hanover
1116,Harding
271,Hardin-Simmons
502060,Harris-Stowe
272,Hartford
273,Hartwick
275,Harvard
506153,Haskell
506007,Hastings
276,Haverford
277,Hawaii
2697,Hawaii Hilo
2696,Hawaii Pacific
278,Heidelberg
1123,Henderson St.
1124,Hendrix
19651,High Point
8398,Hilbert
280,Hillsdale
281,Hiram
506367,Hiwassee
282,Hobart
283,Hofstra
284,Hollins
285,Holy Cross
506345,Holy Cross (IN)
504805,Holy Fam. Col. (WI)
1126,Holy Family
30175,Holy Names
8404,Hood
286,Hope
504017,Hope Int'l
30160,Houghton
288,Houston
287,Houston Baptist
506338,Houston-Victoria
290,Howard
2741,Howard Payne
506492,Humber (CAN)
291,Humboldt St.
292,Hunter
1130,Huntingdon
502195,Huntington
1133,Husson
502215,Huston-Tillotson
295,Idaho
294,Idaho St.
30172,IIT
30050,Ill. Springfield
300,Ill. Wesleyan
301,Illinois
297,Illinois Col.
299,Illinois St.
303,Immaculata
502332,Ind. Wesleyan
502288,Ind.-East
502278,Ind.-Kokomo
502290,Ind.-Northwest
502302,Ind.-South Bend
502300,Ind.-Southeast
306,Indiana
307,Indiana (PA)
305,Indiana St.
502330,Indiana Tech
502335,Int. Am.-San German
310,Iona
312,Iowa
311,Iowa St.
30173,Iowa Wesleyan
313,Ithaca
2699,IUPUI
314,Jackson St.
316,Jacksonville
315,Jacksonville St.
317,James Madison
506057,Jamestown
506004,Jarvis Christian
543,Jefferson
502395,John Brown
320,John Carroll
321,John Jay
506488,John Wesley
322,Johns Hopkins
501712,Johnson (FL)
502420,Johnson (TN)
323,Johnson C. Smith
502441,Judson (AL)
502440,Judson (IL)
325,Juniata
506375,JWU (Charlotte)
30046,JWU (Denver)
506232,JWU (North Miami)
22626,JWU (Providence)
326,Kalamazoo
506103,Kan. Wesleyan
328,Kansas
506254,Kansas Christian
2707,Kansas City
327,Kansas St.
329,Kean
330,Keene St.
506200,Keiser
1157,Kennesaw St.
331,Kent St.
506423,Kent St.-Tuscarawas
334,Kentucky
332,Kentucky St.
335,Kenyon
1159,Keuka
30047,Keystone
30051,King (TN)
502530,King's (NY)
336,King's (PA)
506500,King's U. (CAN)
337,Knox
339,Kutztown
506435,Kwantlen Tech (CAN)
502500,Ky. Christian
333,Ky. Wesleyan
1163,La Roche
340,La Salle
502567,La Sierra
341,La Verne
498,La.-Monroe
342,Lafayette
1162,LaGrange
2746,Lake Erie
344,Lake Forest
345,Lake Superior St.
506152,Lakehead (CAN)
1164,Lakeland
346,Lamar University
506477,Lambton (CAN)
30085,Lancaster Bible
1167,Lander
506491,Landmark Col.
347,Lane
506507,Langara (CAN)
506054,Langston
8486,Lasell
348,Lawrence
506404,Lawrence Tech
349,Le Moyne
351,Lebanon Valley
30013,Lee
13302,Lees-McRae
352,Lehigh
279,Lehman
350,LeMoyne-Owen
1170,Lenoir-Rhyne
24317,Lesley
506429,Lethbridge (CAN)
8490,LeTourneau
354,Lewis
22235,Lewis & Clark
506318,Lewis-Clark St.
355,Liberty
502694,Life (GA)
502695,LIFE Pacific
1174,Limestone
506532,Lincoln (IL)
