Clemson,CLEM,,5,Eastern Mich.,EMU,,3,,9,2014-02-15
Lipscomb,LIP,,2,Evansville,EVAN,,8,,9,2014-02-15
USC Upstate,USCU,,0,George Mason,GMU,,7,,9,2014-02-15
Georgia St.,GAST,,13,Illinois,ILL,,19,,9,2014-02-15
Lamar University,LAM,,3,UIC,UIC,,6,,12,2014-02-15
TCU,TCU,,5,Jacksonville,JAC,,1,,9,2014-02-15
East Carolina,ECU,,2,James Madison,JMU,,5,,9,2014-02-15
Cal Poly,CP,,5,Kansas St.,KSU,,2,,9,2014-02-15
Arizona,ARIZ,,5,Kent St.,KENT,,14,,9,2014-02-15
UNCW,UNCW,,4,Kentucky,UK,,10,,9,2014-02-15
New Orleans,UNO,,4,LSU,LSU,,7,,9,2014-02-15
The Citadel,CIT,,5,Louisville,UL,,3,,9,2014-02-15
Miami (FL),MIAM,,1,Maine,UME,,3,,9,2014-02-15
Lamar University,LAM,,3,Marist,MAR,,4,,9,2014-02-15
Florida,UF,,7,Maryland,UMD,,9,,9,2014-02-15
DBU,DBU,,19,Mississippi Val.,MVSU,,3,,9,2014-02-15
Stetson,STE,,1,Ole Miss,MISS,,11,,9,2014-02-15
Col. of Charleston,COC,,7,North Carolina,UNC,,4,,9,2014-02-15
San Diego,USD,,2,New Mexico,NMU,,3,,11,2014-02-15
Florida St.,FSU,,4,Niagara,NU,,1,,9,2014-02-15
Houston,UH,,4,Nicholls St.,NIST,,0,,9,2014-02-15
Furman,FURM,,5,Norfolk St.,NORF,,2,,9,2014-02-15
Texas A&M,TAMU,,11,Northeastern,NEU,,2,,9,2014-02-15
Sam Houston St.,SHSU,,8,Northern Colo.,UNCO,,1,,9,2014-02-15
Southern California,USC,,2,Northwestern,NW,,1,,15,2014-02-15
Hawaii,HAW,,5,Oregon,UO,,10,,9,2014-02-15
Coastal Caro.,CCU,,5,Pittsburgh,PITT,,7,,9,2014-02-15
UCLA,UCLA,,12,Portland,POR,,1,,9,2014-02-15
Houston Baptist,HBU,,12,Prairie View,PV,,5,,9,2014-02-15
Georgia Tech,GT,,1,Radford,RAD,,3,,9,2014-02-15
Stanford,STAN,,1,Rice,RICE,,5,,9,2014-02-15
Pepperdine,PEPP,,8,St. John's (NY),SJ,,4,,9,2014-02-15
Alabama,ALA,,4,Saint Louis,SLU,,3,,9,2014-02-15
UTSA,UTSA,,15,Saint Peter's,SAIN,,3,,9,2014-02-15
San Jose St.,SJSU,,3,San Diego St.,SDSU,,5,,9,2014-02-15
UC Riverside,UCR,,3,San Francisco,SF,,6,,9,2014-02-15
Oklahoma,OU,,8,Seton Hall,SET,,2,,9,2014-02-15
